Item Name,Qty,Price (total) (USD),Item link,Notes
Battery 6S 4500mAh 30C LiPo,1,$99.00,https://www.amazon.com/Battery-Softcase-Quadcopter-Airplane-Helicopter/dp/B09CTT8RGG,
Charger IMAX B6 LiPo balance charger,1,$35.00,https://www.amazon.com/Battery-Charger-Balance-Discharger-Chargers/dp/B0G64JZ7JV,
ESP32 DevKit V1,1,$17.00,https://www.amazon.com/ESP-WROOM-32-Development-Microcontroller-Integrated-Compatible/dp/B08D5ZD528,
Arduino Nano,1,$0.00,,Already have
NEO-6M GPS module,1,$11.00,https://www.amazon.com/YELUFT-GY-NEO6MV2-Control-Support-Raspberry/dp/B0F2DKWJ4J,
MPU-6050 IMU,1,$12.00,https://www.amazon.com/dp/B00LP25V1A,
SSD1306 0.96in OLED,1,$14.00,https://www.amazon.com/UCTRONICS-SSD1306-Self-Luminous-Display-Raspberry/dp/B072Q2X2LL,
Screw Terminals,1,$9.00,https://www.amazon.com/Tugermoola-Terminal-Connector-Connectors-Terminals/dp/B0D1GSBQWF,
WAGO Splicers,1,$25.00,https://www.amazon.com/Connector-Assortment-Splicing-Electrical-Conductors/dp/B0DG5ZK1YS,
MicroSD card module + MicroSD card,1,$6.00,https://www.amazon.com/WWZMDiB-Adater-Module-Support-Arduino/dp/B0B779R5TZ,
IRLZ44N MOSFET,1,$10.00,https://www.amazon.com/ALLECIN-IRLZ44N-Transistors-IRLZ44NPBF-Mosfets/dp/B0CBKH4XGL,For headlight
3.3V passive buzzer,1,$7.00,https://www.amazon.com/Passive-Resistance-Electronic-Magnetic-Continuous/dp/B0F1KFHSNK,
ZUDKSUY hall-effect thumb throttle,1,$10.00,https://www.amazon.com/ZUDKSUY-Electric-Throttle-LeftRight-Replacement/dp/B0D6WB5JRM,
Assorted Resistors,1,$5.00,https://www.amazon.com/Avelis-Resistors-Assortment-Precision-Electronic/dp/B0FNRD8B3X,
12V LED light bar,1,$9.00,https://www.amazon.com/Lightboss-LED-Light-Off-Road-Waterproof/dp/B09YSWDXSY,For headlight
Solder,1,$9.00,https://www.amazon.com/MAIYUM-63-37-Solder-Electrical-Soldering/dp/B075WB98FJ,
Step down buck boost converter,1,$6.00,https://www.amazon.com/Seloky-Converter-Adjustable-Electronic-Stabilizer/dp/B0DBVYP91F,
XT90 S,1,$13.00,https://www.amazon.com/FLY-RC-Connector-Anti-Spark-Adapter/dp/B0893CGLP7,
Charging Lead,1,$9.00,https://www.amazon.com/FLY-RC-Connector-11-8inch-Silicone/dp/B07C2DGM8D,
10 awg wiring black and red,1,$15.00,https://www.amazon.com/Electrical-Extension-Conductors-Flexible-Voltage/dp/B0FFMXVDSC,
UBEC,1,$19.00,https://www.amazon.com/ShareGoo-Converter-Module-Quadcopter-Holder/dp/B07DYXTX9H,
Total Price (USD):,340,,,